小Q整理中
測試頻道,#genre#
美神降臨,tvbus://1UP134LaiKXqjR6V38h3TrmitPFYy5rFmST19fDKzvt5LAbz14
舒活一台,tvbus://1tTzQsd1BtHiUekzgKfBZAmWTutYusa8hEikfqLm2YjGYsuRqX
舒活二台,tvbus://122QtD64FeYuoiEqEyzKUM7io4TqmTsTXhMEDufn6TiWZ7EoKTv
驚豔成人台,tvbus://12A5bEpUCFgdMymRKV6Pt2B1aa73T3dgQ4RpnRs79XDmsC8z4bZ
香蕉成人台,tvbus://1UP134LaiKXqjR6V38h3TrmitPFYy5rFmST19fDKzvt5LAbz14
蜜桃成人台,tvbus://1iZhWJejnnfKMWiEw6xCx79RE7dJkiXewHYTB2kk7M6FtVvrdc
和朋友夫婦的交換, https://56.com-t-56.com/20190627/23478_cc82a543/index.m3u8
性曖輔導2, https://youku.kuyun-leshi.com/20190707/Wt0OnilU/index.m3u8
小姨子的姐妹情誼, https://56.com-t-56.com/20190706/23605_24a6efa5/index.m3u8
酒家夫人, https://56.com-t-56.com/20190703/23568_781df10f/index.m3u8
戀人：朋友的女兒, https://56.com-t-56.com/20190702/23558_7edf9181/index.m3u8
姨母的誘惑2, https://56.com-t-56.com/20190630/23519_04d3183d/index.m3u8
密愛：我朋友的媽媽2, https://56.com-t-56.com/20190628/23501_556d184c/index.m3u8
鄰家小姐, https://bilibili.com-h-bilibili.com/20190321/8165_49d029aa/index.m3u8
空即是色, https://tudou.com-l-tudou.com/20180420/8843_3d0e34f1/index.m3u8
夜車司機：全程, https://56.com-t-56.com/20190623/23428_2511ee09/index.m3u8
辦公樓：技術熟練之人, https://56.com-t-56.com/20190620/23390_ce588acb/index.m3u8
表姐妹們, https://youku.com-okzy.com/20190507/247_b1b7bd14/index.m3u8
一位火熱的室友, https://56.com-t-56.com/20190603/23135_807dc9e8/index.m3u8
大胸女友, https:pptv.com/20190313/16058_5c4cfb1c/index.m3u8
茶館媽媽/咖啡館媽媽, https://bilibili.com-h-bilibili.com/20190402/8306_4cd00d93/index.m3u8
妹妹不是你, https://youku.com-okzy.com/20190504/212_318c1ffe/index.m3u8
下流家族, https://56.com-t-56.com/20190608/23219_60986e62/index.m3u8
